Country,City,Year,AQI,PM2.5,PM10,Deforestation_Rate_%,Afforestation_Rate_%,Vehicles_Increase_%,Industries_Increase_%,Env_Budget_Million_USD,Population_Density_Per_SqKm,CO2_Emissions_MT,Green_Space_Ratio_%,Avg_Life_Expectancy_Index
turkey,bursa,2015.0,97.33,52.22,98.21,2.06,1.48,4.49,3.4,285.67,9448.92,126.62,36.24,79.08
vietnam,hai phong,2016.0,156.8,89.56,169.41,4.19,2.72,9.95,9.06,185.22,11252.8,206.21,32.72,74.92
philippines,cebu city,2018.0,129.79,67.39,128.21,3.07,1.22,5.92,4.54,194.63,7838.89,125.78,32.73,76.74
saudi arabia,dammam,2019.0,126.79,52.69,79.74,3.61,0.68,6.36,3.04,364.77,7269.51,123.48,31.15,78.62
ethiopia,harar,2016.0,105.1,51.62,82.41,5.74,0.26,4.27,3.66,49.84,928.99,114.08,34.1,78.09
japan,nagoya,2022.0,15.0,7.65,11.41,0.35,4.44,6.64,0.65,180.34,7207.47,98.38,45.75,86.29
pakistan,islamabad,2015.0,319.05,183.39,254.08,5.32,0.72,7.625,8.36,161.95,7774.59,379.95,23.48,64.05
ethiopia,dire dawa,2019.0,79.56,35.27,59.25,2.81,0.4,3.08,3.97,40.75,2483.1,108.0,35.92,79.78
thailand,phuket,2017.0,81.39,53.86,62.11,3.79,1.08,4.23,6.78,341.57,1531.0,126.23,37.93,80.26
mongolia,erdenet,2019.0,305.56,180.6,302.01,3.6,0.3,7.49,15.93,132.93,12122.45,319.34,25.19,64.9
iran,mashhad,2014.0,220.85,124.94,220.0,3.38,1.13,11.76,8.74,78.2,24120.91,251.03,15.89,70.43
spain,seville,2015.0,47.32,28.28,34.12,0.57,3.06,2.81,3.4,178.5,10443.65,124.2,38.16,83.96
australia,adelaide,2023.0,15.0,9.02,15.38,0.58,4.84,1.24,3.51,693.23,4594.7,83.14,49.34,85.39
brazil,fortaleza,2016.0,104.85,42.24,85.99,3.27,0.37,7.4,8.58,281.42,3457.32,185.6,34.39,78.57
mexico,puebla,2018.0,131.37,59.13,115.79,0.57,2.05,8.96,3.93,207.67,11136.53,148.73,34.44,76.66
saudi arabia,mecca,2014.0,93.33,46.38,66.83,1.51,1.58,7.39,9.28,156.8,1338.44,185.36,41.89,79.09
romania,bucharest,2017.0,134.9,68.24,114.77,2.5,2.48,10.48,7.68,374.5,12148.13,234.06,32.8,76.76
vietnam,hanoi,2017.0,161.14,84.4,154.49,3.48,1.0,7.97,3.17,178.6,12856.53,170.56,26.66,74.61
indonesia,bandung,2018.0,62.01,28.47,57.69,3.58,1.79,5.79,7.86,391.68,985.74,144.7,40.82,81.65
romania,constanta,2022.0,136.07,79.63,149.14,2.51,0.78,11.3,4.86,224.06,13994.03,207.41,25.85,76.38
colombia,barranquilla,2017.0,180.68,117.72,140.56,1.0,1.03,11.15,7.45,91.29,10400.65,198.41,31.7,73.14
south africa,pretoria,2017.0,108.11,69.37,87.96,2.79,2.68,4.8,3.77,192.37,6498.72,130.17,38.75,78.18
uae,abu dhabi,2017.0,77.28,40.29,83.9,0.97,2.58,12.71,5.32,319.44,3362.05,182.79,43.4,80.49
norway,trondheim,2018.0,37.43,25.17,41.08,0.32,4.05,3.12,1.04,702.31,10655.1,69.21,41.17,83.91
mexico,guadalajara,2015.0,141.58,80.94,105.03,1.2,2.26,11.69,9.37,76.17,1254.82,223.71,44.32,75.71
australia,perth,2021.0,15.0,10.02,12.37,0.49,2.63,1.58,3.98,578.46,4356.93,78.86,43.04,85.16
tanzania,dodoma,2011.0,68.72,42.13,73.62,2.73,0.22,2.62,2.57,50.74,2553.8,89.5,35.39,80.52
iran,tabriz,2022.0,193.65,116.03,169.71,3.11,0.47,13.8,6.23,88.71,5495.58,195.46,32.82,72.27
myanmar,yangon,2021.0,237.46,99.29,231.4,5.32,0.49,17.68,7.52,69.07,15058.09,261.19,21.08,69.31
russia,moscow,2016.0,116.97,52.54,93.98,2.61,1.72,13.54,7.2,191.46,7002.6,206.2,35.54,77.58
germany,hamburg,2015.0,67.51,32.62,61.85,0.2,1.4,2.06,3.08,178.5,10298.79,80.53,33.7,82.16
ghana,kumasi,2014.0,108.76,48.75,112.97,3.37,1.79,7.31,6.18,248.15,6382.56,182.54,35.62,78.25
australia,perth,2023.0,15.0,9.38,12.14,2.23,2.43,6.08,1.3,175.24,3194.28,81.13,43.91,86.24
vietnam,ho chi minh city,2017.0,135.97,87.73,108.22,2.82,2.58,7.01,7.3,216.94,9789.7,197.73,35.15,76.37
saudi arabia,riyadh,2022.0,110.81,50.28,114.36,3.42,0.86,8.54,3.97,180.34,10334.18,173.42,28.82,78.35
vietnam,can tho,2015.0,95.96,66.95,102.56,4.32,0.94,6.96,5.34,366.39,1526.84,125.34,36.97,79.34
china,beijing,2021.0,247.36,118.89,214.4,4.32,0.88,16.48,8.66,147.75,16601.31,298.09,21.72,68.81
pakistan,rawalpindi,2019.0,246.36,150.97,184.35,1.99,0.31,23.19,6.65,157.73,15686.61,297.32,23.26,68.89
canada,toronto,2022.0,27.31,18.36,24.51,0.85,1.81,2.91,3.01,706.5,9684.42,110.82,34.88,84.59
egypt,cairo,2014.0,250.09,156.69,213.13,4.73,0.22,18.43,9.46,81.03,16429.98,306.43,19.5,68.49
